trade_date,ticker,open_price,high_price,low_price,adj_close_price,volume,trade_amount,high_52w,low_52w
2021-01-19,AAPL,127.77999877929688,128.7100067138672,126.94000244140625,124.4364242553711,90757300,11293513887.071991,,
2021-01-20,AAPL,128.66000366210938,132.49000549316406,128.5500030517578,128.52493286132812,104319500,13407656733.62732,,
2021-01-21,AAPL,133.8000030517578,139.6699981689453,133.58999633789062,133.2364044189453,120150900,16008473903.700256,,
2021-01-22,AAPL,136.27999877929688,139.85000610351562,135.02000427246094,135.37802124023438,114459400,15495287084.344482,,
2021-01-25,AAPL,143.07000732421875,145.08999633789062,136.5399932861328,139.1258087158203,157611700,21927855225.575256,,
2021-01-26,AAPL,143.60000610351562,144.3000030517578,141.3699951171875,139.35940551757812,98390600,13711655524.517822,,
2021-01-27,AAPL,143.42999267578125,144.3000030517578,140.41000366210938,138.2886505126953,140843800,19477099035.079956,,
2021-01-28,AAPL,139.52000427246094,141.99000549316406,136.6999969482422,133.4505615234375,142621100,19032865880.090332,,
2021-01-29,AAPL,135.8300018310547,136.74000549316406,130.2100067138672,128.456787109375,177523800,22804136983.447266,,
2021-02-01,AAPL,133.75,135.3800048828125,130.92999267578125,130.57887268066406,106239800,13872673317.819214,,
2021-02-02,AAPL,135.72999572753906,136.30999755859375,134.61000061035156,131.4063262939453,83305400,10946856574.447632,,
2021-02-03,AAPL,135.75999450683594,135.77000427246094,133.61000061035156,130.3842010498047,89880900,11719049336.13739,,
2021-02-04,AAPL,136.3000030517578,137.39999389648438,134.58999633789062,133.74258422851562,84183100,11258865342.367554,,
2021-02-05,AAPL,137.35000610351562,137.4199981689453,135.86000061035156,133.32827758789062,75693800,10092123978.082275,,
2021-02-08,AAPL,136.02999877929688,136.9600067138672,134.9199981689453,133.47451782226562,71297200,9516359392.077637,,
2021-02-09,AAPL,136.6199951171875,137.8800048828125,135.85000610351562,132.5970916748047,76774200,10180035635.65979,,
2021-02-10,AAPL,136.47999572753906,136.99000549316406,134.39999389648438,131.99264526367188,73046600,9641613961.517334,,
2021-02-11,AAPL,135.89999389648438,136.38999938964844,133.77000427246094,131.73919677734375,64280000,8468195568.847656,,
2021-02-12,AAPL,134.35000610351562,135.52999877929688,133.69000244140625,131.97317504882812,60145100,7937539810.629272,,
2021-02-16,AAPL,135.49000549316406,136.00999450683594,132.7899932861328,129.84783935546875,80576300,10462658458.258057,,
2021-02-17,AAPL,131.25,132.22000122070312,129.47000122070312,127.55680847167969,97918500,12490171350.334167,,
2021-02-18,AAPL,129.1999969482422,130.0,127.41000366210938,126.45519256591797,96856700,12248032649.799347,,
2021-02-19,AAPL,130.24000549316406,130.7100067138672,128.8000030517578,126.61114501953125,87668800,11099847150.488281,,
2021-02-22,AAPL,128.00999450683594,129.72000122070312,125.5999984741211,122.83827209472656,103916400,12764911018.304443,,
2021-02-23,AAPL,123.76000213623047,126.70999908447266,118.38999938964844,122.70178985595703,158273000,19420380385.871887,,
2021-02-24,AAPL,124.94000244140625,125.55999755859375,122.2300033569336,122.20458221435547,111039900,13569584588.62381,,
2021-02-25,AAPL,124.68000030517578,126.45999908447266,120.54000091552734,117.95399475097656,148199500,17480723045.09735,,
2021-02-26,AAPL,122.58999633789062,124.8499984741211,121.19999694824219,118.21720886230469,164560400,19453871177.264404,,
2021-03-01,AAPL,123.75,127.93000030517578,122.79000091552734,124.58336639404297,116307900,14490029720.22171,,
2021-03-02,AAPL,128.41000366210938,128.72000122070312,125.01000213623047,121.98036193847656,102260900,12473821594.154358,,
2021-03-03,AAPL,124.80999755859375,125.70999908447266,121.83999633789062,118.99715423583984,112966300,13442668224.552155,,
2021-03-04,AAPL,121.75,123.5999984741211,118.62000274658203,117.11557006835938,178155000,20864724385.528564,,
2021-03-05,AAPL,120.9800033569336,121.94000244140625,117.56999969482422,118.3731918334961,153766600,18201843239.38446,,
2021-03-08,AAPL,120.93000030517578,121.0,116.20999908447266,113.44015502929688,154376600,17512505436.895752,,
2021-03-09,AAPL,119.02999877929688,122.05999755859375,118.79000091552734,118.05146789550781,129525800,15290710820.339966,,
2021-03-10,AAPL,121.69000244140625,122.16999816894531,119.44999694824219,116.96934509277344,111943300,13093934488.523865,,
2021-03-11,AAPL,122.54000091552734,123.20999908447266,121.26000213623047,118.89966583251953,103026500,12249816421.894073,,
2021-03-12,AAPL,120.4000015258789,121.16999816894531,119.16000366210938,117.99300384521484,88105100,10395785403.083038,,
2021-03-15,AAPL,121.41000366210938,124.0,120.41999816894531,120.87871551513672,92403800,11169652652.71759,,
2021-03-16,AAPL,125.69999694824219,127.22000122070312,124.72000122070312,122.41905975341797,115227900,14106091175.36087,,
2021-03-17,AAPL,124.05000305175781,125.86000061035156,122.33999633789062,121.62939453125,111932600,13614294366.308594,,
2021-03-18,AAPL,122.87999725341797,123.18000030517578,120.31999969482422,117.50553894042969,121229700,14245161234.086609,,
2021-03-19,AAPL,119.9000015258789,121.43000030517578,119.68000030517578,116.9791030883789,185549500,21705414088.49716,,
2021-03-22,AAPL,120.33000183105469,123.87000274658203,120.26000213623047,120.29377746582031,111912300,13462353311.888123,,
2021-03-23,AAPL,123.33000183105469,124.23999786376953,122.13999938964844,119.465087890625,95467100,11404985492.163086,,
2021-03-24,AAPL,122.81999969482422,122.9000015258789,120.06999969482422,117.07658386230469,88530500,10364848507.621765,,
2021-03-25,AAPL,119.54000091552734,121.66000366210938,119.0,117.56402587890625,98844700,11620580868.792725,,
2021-03-26,AAPL,120.3499984741211,121.4800033569336,118.91999816894531,118.16847229003906,94071200,11116249990.490723,,
2021-03-29,AAPL,121.6500015258789,122.58000183105469,120.7300033569336,118.34394073486328,80819200,9564462615.039062,,
2021-03-30,AAPL,120.11000061035156,120.4000015258789,118.86000061035156,116.89134979248047,85671900,10014304030.286407,,
2021-03-31,AAPL,121.6500015258789,123.5199966430664,121.1500015258789,119.08489227294922,118323800,14090576976.325989,,
2021-04-01,AAPL,123.66000366210938,124.18000030517578,122.48999786376953,119.91355895996094,75089100,9004201220.100403,,
2021-04-05,AAPL,123.87000274658203,126.16000366210938,123.06999969482422,122.74076843261719,88651200,10881116410.473633,,
2021-04-06,AAPL,126.5,127.12999725341797,125.6500015258789,123.04300689697266,80171300,9864517818.839264,,
2021-04-07,AAPL,125.83000183105469,127.91999816894531,125.13999938964844,124.69059753417969,83466700,10407512697.206116,,
2021-04-08,AAPL,128.9499969482422,130.38999938964844,128.52000427246094,127.0888671875,88844600,11291159569.726562,,
2021-04-09,AAPL,129.8000030517578,133.0399932861328,129.47000122070312,129.66261291503906,106686700,13833276285.282898,,
2021-04-12,AAPL,132.52000427246094,132.85000610351562,130.6300048828125,127.9468002319336,91420000,11696896477.20337,,
2021-04-13,AAPL,132.44000244140625,134.66000366210938,131.92999267578125,131.0567626953125,91266500,11961092032.531738,,
2021-04-14,AAPL,134.94000244140625,135.0,131.66000366210938,128.7169647216797,87222800,11227054070.526123,,
2021-04-15,AAPL,133.82000732421875,135.0,133.63999938964844,131.125,89347100,11715638487.5,,
2021-04-16,AAPL,134.3000030517578,134.6699981689453,133.27999877929688,130.79348754882812,84922400,11107296867.016602,,
2021-04-19,AAPL,133.50999450683594,135.47000122070312,133.33999633789062,131.4564666748047,94264200,12391638665.927124,,
2021-04-20,AAPL,135.02000427246094,135.52999877929688,131.80999755859375,129.76988220214844,94812300,12303781002.314758,,
2021-04-21,AAPL,132.36000061035156,133.75,131.3000030517578,130.15011596679688,68847100,8960458048.977661,,
2021-04-22,AAPL,133.0399932861328,134.14999389648438,131.41000366210938,128.62921142578125,84566500,10877722208.03833,,
2021-04-23,AAPL,132.16000366210938,135.1199951171875,132.16000366210938,130.9495086669922,78657500,10300160977.973938,,
2021-04-26,AAPL,134.8300018310547,135.05999755859375,133.55999755859375,131.33949279785156,66905100,8787281899.589539,,
2021-04-27,AAPL,135.00999450683594,135.41000366210938,134.11000061035156,131.01773071289062,66015800,8649240307.196045,,
2021-04-28,AAPL,134.30999755859375,135.02000427246094,133.0800018310547,130.2280731201172,107760100,14033390182.23114,,
2021-04-29,AAPL,136.47000122070312,137.07000732421875,132.4499969482422,130.1305389404297,151101000,19662854564.437866,,
2021-04-30,AAPL,131.77999877929688,133.55999755859375,131.07000732421875,128.1613006591797,109839500,14077173183.753967,,
2021-05-03,AAPL,132.0399932861328,134.07000732421875,131.8300018310547,129.214111328125,75135100,9708515176.049805,,
2021-05-04,AAPL,131.19000244140625,131.49000549316406,126.69999694824219,124.64183807373047,137564700,17146317062.06131,,
2021-05-05,AAPL,129.1999969482422,130.4499969482422,127.97000122070312,124.8856201171875,84000900,10490504486.901855,,
2021-05-06,AAPL,127.88999938964844,129.75,127.12999725341797,126.48442077636719,78128300,9882012771.742249,,
2021-05-07,AAPL,130.85000610351562,131.25999450683594,129.47999572753906,127.15824890136719,78973300,10042106537.962341,,
2021-05-10,AAPL,129.41000366210938,129.5399932861328,126.80999755859375,123.87699127197266,88071200,10909995273.712158,,
2021-05-11,AAPL,123.5,126.2699966430664,122.7699966430664,122.95902252197266,126142800,15510395386.184692,,
2021-05-12,AAPL,123.4000015258789,124.63999938964844,122.25,119.89263153076172,112172300,13448632231.858063,,
2021-05-13,AAPL,124.58000183105469,126.1500015258789,124.26000213623047,122.04107666015625,105861300,12919427028.643799,,
2021-05-14,AAPL,126.25,127.88999938964844,125.8499984741211,124.46295166015625,81918000,10195756074.09668,,
2021-05-17,AAPL,126.81999969482422,126.93000030517578,125.16999816894531,123.31059265136719,74244600,9155145627.163696,,
2021-05-18,AAPL,126.55999755859375,126.98999786376953,124.77999877929688,121.92388153076172,63342900,7723012235.414886,,
2021-05-19,AAPL,123.16000366210938,124.91999816894531,122.86000061035156,121.76764678955078,92612000,11277145304.473877,,
2021-05-20,AAPL,125.2300033569336,127.72000122070312,125.0999984741211,124.32621765136719,76857100,9555352542.652893,,
2021-05-21,AAPL,127.81999969482422,128.0,125.20999908447266,122.49028778076172,79295400,9712916365.690613,,
2021-05-24,AAPL,126.01000213623047,127.94000244140625,125.94000244140625,124.12113189697266,63092900,7831162162.662506,,
2021-05-25,AAPL,127.81999969482422,128.32000732421875,126.31999969482422,123.92583465576172,72009500,8923837390.644073,,
2021-05-26,AAPL,126.95999908447266,127.38999938964844,126.41999816894531,123.87699127197266,56575900,7008452270.503998,,
2021-05-27,AAPL,126.44000244140625,127.63999938964844,125.08000183105469,122.34378814697266,94625600,11576854359.680176,,
2021-05-28,AAPL,125.56999969482422,125.80000305175781,124.55000305175781,121.68948364257812,71311100,8677810936.984253,,
2021-06-01,AAPL,125.08000183105469,125.3499984741211,123.94000244140625,121.36723327636719,67637100,8208927693.836975,,
2021-06-02,AAPL,124.27999877929688,125.23999786376953,124.05000305175781,122.12895965576172,59278900,7239670386.537933,,
2021-06-03,AAPL,124.68000030517578,124.8499984741211,123.12999725341797,120.64457702636719,76229200,9196639591.05835,,
2021-06-04,AAPL,124.06999969482422,126.16000366210938,123.8499984741211,122.93949890136719,75169300,9241276074.76654,,
2021-06-07,AAPL,126.16999816894531,126.31999969482422,124.83000183105469,122.94927978515625,71057600,8736480743.261719,,
2021-06-08,AAPL,126.5999984741211,128.4600067138672,126.20999908447266,123.76958465576172,74403800,9208927422.810364,,
2021-06-09,AAPL,127.20999908447266,127.75,126.5199966430664,124.15043640136719,56877900,7061416106.593323,,
2021-06-10,AAPL,127.0199966430664,128.19000244140625,125.94000244140625,123.15435028076172,71186400,8766914840.826416,,
2021-06-11,AAPL,126.52999877929688,127.44000244140625,126.0999984741211,124.36529541015625,53522400,6656329087.060547,,
2021-06-14,AAPL,127.81999969482422,130.5399932861328,127.06999969482422,127.42192840576172,96906500,12348013105.052948,,
2021-06-15,AAPL,129.94000244140625,130.60000610351562,129.38999938964844,126.60160064697266,62746300,7943782014.67514,,
2021-06-16,AAPL,130.3699951171875,130.88999938964844,128.4600067138672,127.09965515136719,91815000,11669654837.722778,,
2021-06-17,AAPL,129.8000030517578,132.5500030517578,129.64999389648438,128.70123291015625,96721700,12448202039.16626,,
2021-06-18,AAPL,130.7100067138672,131.50999450683594,130.24000549316406,127.40238189697266,108953300,13880909935.53543,,
2021-06-21,AAPL,130.3000030517578,132.41000366210938,129.2100067138672,129.1992950439453,79663300,10292442200.874329,,
2021-06-22,AAPL,132.1300048828125,134.0800018310547,131.6199951171875,130.83990478515625,74783600,9784679103.49121,,
2021-06-23,AAPL,133.77000427246094,134.32000732421875,133.22999572753906,130.56643676757812,60214200,7861953536.810303,,
2021-06-24,AAPL,134.4499969482422,134.63999938964844,132.92999267578125,130.28326416015625,68711000,8951893363.708496,,
2021-06-25,AAPL,133.4600067138672,133.88999938964844,132.80999755859375,129.9902801513672,70783700,9201192993.15033,,
2021-06-28,AAPL,133.41000366210938,135.25,133.35000610351562,131.6211395263672,62111300,8175160083.46405,,
2021-06-29,AAPL,134.8000030517578,136.49000549316406,134.35000610351562,133.1348114013672,64556100,8594664198.3078,,
2021-06-30,AAPL,136.1699981689453,137.41000366210938,135.8699951171875,133.7500762939453,63261400,8461217076.461792,,
2021-07-01,AAPL,136.60000610351562,137.3300018310547,135.75999450683594,134.05284118652344,52485800,7035870611.947632,,
2021-07-02,AAPL,137.89999389648438,140.0,137.75,136.6797332763672,78852600,10777552336.148071,,
2021-07-06,AAPL,140.07000732421875,143.14999389648438,140.07000732421875,138.69146728515625,108181800,15003892575.549316,,
2021-07-07,AAPL,143.5399932861328,144.88999938964844,142.66000366210938,141.18167114257812,104911600,14811595010.2417,,
2021-07-08,AAPL,141.5800018310547,144.05999755859375,140.6699981689453,139.8828582763672,105575500,14768202703.956604,,
2021-07-09,AAPL,142.75,145.64999389648438,142.64999389648438,141.70901489257812,99890800,14155426864.831543,,
2021-07-12,AAPL,146.2100067138672,146.32000732421875,144.0,141.1133270263672,76299700,10766904518.113708,,
2021-07-13,AAPL,144.02999877929688,147.4600067138672,143.6300048828125,142.2266387939453,100827100,14340299532.341003,,
2021-07-14,AAPL,148.10000610351562,149.57000732421875,147.67999267578125,145.65435791015625,127050800,18505502695.97168,,
2021-07-15,AAPL,149.24000549316406,150.0,147.08999633789062,145.00006103515625,106820300,15488950019.793701,,
2021-07-16,AAPL,148.4600067138672,149.75999450683594,145.8800048828125,142.95904541015625,93251400,13331131127.160645,,
2021-07-19,AAPL,143.75,144.07000732421875,141.6699981689453,139.11138916015625,121434600,16892935898.10791,,
2021-07-20,AAPL,143.4600067138672,147.10000610351562,142.9600067138672,142.72467041015625,96350000,13751521994.018555,,
2021-07-21,AAPL,145.52999877929688,146.1300048828125,144.6300048828125,141.9922637939453,74993500,10648496834.831238,,
2021-07-22,AAPL,145.94000244140625,148.1999969482422,145.80999755859375,143.35943603515625,77338200,11087160735.974121,,
2021-07-23,AAPL,147.5500030517578,148.72000122070312,146.9199981689453,145.07818603515625,71447400,10365459188.928223,,
2021-07-26,AAPL,148.27000427246094,149.8300018310547,147.6999969482422,145.4980926513672,72434100,10539023392.918396,,
2021-07-27,AAPL,149.1199951171875,149.2100067138672,145.5500030517578,143.33013916015625,104818600,15023664524.572754,,
2021-07-28,AAPL,144.80999755859375,146.97000122070312,142.5399932861328,141.5821075439453,118931200,16838529948.730469,,
2021-07-29,AAPL,144.69000244140625,146.5500030517578,144.5800018310547,142.2266387939453,56699500,8064179306.297302,,
2021-07-30,AAPL,144.3800048828125,146.3300018310547,144.11000061035156,142.44146728515625,70440600,10033662420.446777,,
2021-08-02,AAPL,146.36000061035156,146.9499969482422,145.25,142.1094207763672,62880000,8935840378.417969,,
2021-08-03,AAPL,145.80999755859375,148.0399932861328,145.17999267578125,143.9062957763672,64786600,9323199621.94519,,
2021-08-04,AAPL,147.27000427246094,147.7899932861328,146.27999877929688,143.50588989257812,56368300,8089183053.231812,,
2021-08-05,AAPL,146.97999572753906,147.83999633789062,146.1699981689453,143.6133270263672,46397700,6663328063.371277,,
2021-08-06,AAPL,146.35000610351562,147.11000061035156,145.6300048828125,142.9287109375,54126800,7736273751.171875,,
2021-08-09,AAPL,146.1999969482422,146.6999969482422,145.52000427246094,142.8798370361328,48908700,6988067085.649109,,
2021-08-10,AAPL,146.44000244140625,147.7100067138672,145.3000030517578,142.40065002441406,69023100,9828934306.700134,,
2021-08-11,AAPL,146.0500030517578,146.72000122070312,145.52999877929688,142.65487670898438,48493500,6917834263.687134,,
2021-08-12,AAPL,146.19000244140625,149.0500030517578,145.83999633789062,145.61827087402344,72282600,10525667226.278687,,
2021-08-13,AAPL,148.97000122070312,149.44000244140625,148.27000427246094,145.82369995117188,59375000,8658282184.60083,,
2021-08-16,AAPL,148.5399932861328,151.19000244140625,146.47000122070312,147.79931640625,103296000,15267078187.5,,
2021-08-17,AAPL,150.22999572753906,151.67999267578125,149.08999633789062,146.88973999023438,92229700,13547596652.37732,,
2021-08-18,AAPL,149.8000030517578,150.72000122070312,146.14999389648438,143.14389038085938,86326000,12357039481.018066,,
2021-08-19,AAPL,145.02999877929688,148.0,144.5,143.47642517089844,86960300,12476752975.78888,,
2021-08-20,AAPL,147.44000244140625,148.5,146.77999877929688,144.9336700439453,60549600,8775675747.692871,,
2021-08-23,AAPL,148.30999755859375,150.19000244140625,147.88999938964844,146.42030334472656,60131800,8804516396.664429,,
2021-08-24,AAPL,149.4499969482422,150.86000061035156,149.14999389648438,146.33226013183594,48606400,7112684368.87207,,
2021-08-25,AAPL,149.80999755859375,150.32000732421875,147.8000030517578,145.09994506835938,58991300,8559634389.511108,,
2021-08-26,AAPL,148.35000610351562,149.1199951171875,147.50999450683594,144.29795837402344,48597200,7012476742.694092,,
2021-08-27,AAPL,147.47999572753906,148.75,146.8300018310547,145.33465576171875,55802400,8110022594.677734,,
2021-08-30,AAPL,149.0,153.49000549316406,148.61000061035156,149.75537109375,90956700,13621254361.96289,,
2021-08-31,AAPL,152.66000366210938,152.8000030517578,151.2899932861328,148.4936981201172,86453100,12837740532.948303,,
2021-09-01,AAPL,152.8300018310547,154.97999572753906,152.33999633789062,149.1587371826172,80313700,11979490070.463562,,
2021-09-02,AAPL,153.8699951171875,154.72000122070312,152.39999389648438,150.27369689941406,71115500,10686789091.85028,,
2021-09-03,AAPL,153.75999450683594,154.6300048828125,153.08999633789062,150.90943908691406,57808700,8723878491.343689,,
2021-09-07,AAPL,154.97000122070312,157.25999450683594,154.38999938964844,153.2469024658203,82278300,12608894615.153503,,
2021-09-08,AAPL,156.97999572753906,157.0399932861328,153.97999572753906,151.70162963867188,74420200,11289665618.035889,,
2021-09-09,AAPL,155.49000549316406,156.11000061035156,153.9499969482422,150.68446350097656,57305700,8635078660.047913,,
2021-09-10,AAPL,155.0,155.47999572753906,148.6999969482422,145.696533203125,140893200,20527650791.89453,,
2021-09-13,AAPL,150.6300048828125,151.4199981689453,148.75,146.2637939453125,102404300,14978041434.313965,,
2021-09-14,AAPL,150.35000610351562,151.07000732421875,146.91000366210938,144.86521911621094,109296300,15833232448.091125,,
2021-09-15,AAPL,148.55999755859375,149.44000244140625,146.3699951171875,145.7552490234375,83281300,12138686620.495605,,
2021-09-16,AAPL,148.44000244140625,148.97000122070312,147.22000122070312,145.52049255371094,68034100,9900355742.448425,,
2021-09-17,AAPL,148.82000732421875,148.82000732421875,145.75999450683594,142.8504638671875,129868800,18551818321.875,,
2021-09-20,AAPL,143.8000030517578,144.83999633789062,141.27000427246094,139.79905700683594,123478900,17262233780.241394,,
2021-09-21,AAPL,143.92999267578125,144.60000610351562,142.77999877929688,140.27825927734375,75834000,10637861514.038086,,
2021-09-22,AAPL,144.4499969482422,146.42999267578125,143.6999969482422,142.64511108398438,76404300,10898699860.794067,,
2021-09-23,AAPL,146.64999389648438,147.0800018310547,145.63999938964844,143.6035614013672,64838200,9310996434.854126,,
2021-09-24,AAPL,145.66000366210938,147.47000122070312,145.55999755859375,143.6915740966797,53477900,7684323630.384827,,
2021-09-27,AAPL,145.47000122070312,145.9600067138672,143.82000732421875,142.17562866210938,74150700,10542422388.235474,,
